"id","installation_id","device_id","temperature","humidity","number_people","measured_at","tvoc","co2"
1041121,3,9,"26.6","54",-6,"2025-01-21 18:09:28","0","0"
1041119,3,9,"26.6","54",-6,"2025-01-21 18:09:13","0","0"
1041117,3,9,"0","0",-6,"2025-01-21 18:08:58","0","0"
1041115,3,9,"26.6","54",-6,"2025-01-21 18:08:43","0","0"
1041113,3,9,"0","0",-6,"2025-01-21 18:08:28","0","0"
1041111,3,9,"0","0",-6,"2025-01-21 18:08:13","0","0"
1041109,3,9,"0","0",-6,"2025-01-21 18:07:58","0","0"
1041107,3,9,"0","0",-6,"2025-01-21 18:07:43","0","0"
1041105,3,9,"26.6","55",-6,"2025-01-21 18:07:28","0","0"
1041103,3,9,"26.6","54",-6,"2025-01-21 18:07:13","0","0"
1041101,3,9,"26.6","54",-5,"2025-01-21 18:06:58","0","0"
1041099,3,9,"0","0",-5,"2025-01-21 18:06:43","0","0"
1041097,3,9,"26.6","55",-5,"2025-01-21 18:06:28","0","0"
1041095,3,9,"26.6","55",-5,"2025-01-21 18:06:13","0","0"
1041093,3,9,"26.6","54",-5,"2025-01-21 18:05:58","0","0"
1041091,3,9,"26.6","54",-5,"2025-01-21 18:05:43","0","0"
1041089,3,9,"26.6","54",-5,"2025-01-21 18:05:28","0","0"
1041087,3,9,"0","0",-5,"2025-01-21 18:05:13","0","0"
1041085,3,9,"0","0",-5,"2025-01-21 18:04:58","0","0"
1041083,3,9,"0","0",-5,"2025-01-21 18:04:43","0","0"
1041081,3,9,"26.6","55",-5,"2025-01-21 18:04:28","0","0"
1041079,3,9,"26.6","55",-5,"2025-01-21 18:04:13","0","0"
1041077,3,9,"26.6","54",-5,"2025-01-21 18:03:58","0","0"
1041075,3,9,"0","0",-5,"2025-01-21 18:03:43","0","0"
1041073,3,9,"26.6","54",-5,"2025-01-21 18:03:28","0","0"
1041071,3,9,"0","0",-5,"2025-01-21 18:03:13","0","0"
1041069,3,9,"26.9","54",-5,"2025-01-21 18:02:58","0","0"
1041067,3,9,"27.3","54",-5,"2025-01-21 18:02:43","0","0"
1041065,3,9,"26.7","54",-5,"2025-01-21 18:02:28","0","0"
1041063,3,9,"26.7","54",-5,"2025-01-21 18:02:13","0","0"
1041061,3,9,"26.7","54",-5,"2025-01-21 18:01:58","0","0"
1041059,3,9,"26.6","54",-5,"2025-01-21 18:01:43","0","0"
1041057,3,9,"26.7","54",-5,"2025-01-21 18:01:28","0","0"
1041055,3,9,"26.7","54",-5,"2025-01-21 18:01:13","0","0"
1041053,3,9,"0","0",-5,"2025-01-21 18:00:58","0","0"
1041051,3,9,"26.7","54",-5,"2025-01-21 18:00:43","0","0"
1041049,3,9,"0","0",-5,"2025-01-21 18:00:28","0","0"
