"id","installation_id","device_id","temperature","humidity","number_people","measured_at","tvoc","co2"
1052041,10,28,"26.2","58",16,"2025-01-22 17:44:30","0","0"
1052040,10,28,"26","59",16,"2025-01-22 17:44:15","0","0"
1052039,10,28,"26","59",16,"2025-01-22 17:44:00","0","0"
1052038,10,28,"26","59",16,"2025-01-22 17:43:45","0","0"
1052037,10,28,"0","0",16,"2025-01-22 17:43:30","0","0"
1052036,10,28,"26.3","60",16,"2025-01-22 17:43:15","0","0"
1052035,10,28,"26.3","60",16,"2025-01-22 17:43:00","0","0"
1052034,10,28,"26.1","60",16,"2025-01-22 17:42:45","0","0"
1052033,10,28,"25.9","60",16,"2025-01-22 17:42:30","0","0"
1052032,10,28,"26.3","61",16,"2025-01-22 17:42:15","0","0"
1052031,10,28,"26","62",16,"2025-01-22 17:42:00","0","0"
1052030,10,28,"25.9","61",16,"2025-01-22 17:41:45","0","0"
1052029,10,28,"26","62",16,"2025-01-22 17:41:30","0","0"
1052028,10,28,"25.9","62",16,"2025-01-22 17:41:15","0","0"
1052027,10,28,"26.3","63",16,"2025-01-22 17:41:00","0","0"
1052026,10,28,"25.9","63",16,"2025-01-22 17:40:45","0","0"
1052025,10,28,"25.8","63",16,"2025-01-22 17:40:30","0","0"
1052024,10,28,"26.1","65",16,"2025-01-22 17:40:15","0","0"
1052023,10,28,"26.3","65",16,"2025-01-22 17:40:00","0","0"
