"id","installation_id","device_id","temperature","humidity","number_people","measured_at","tvoc","co2"
1052010,10,28,"26.3","65",16,"2025-01-22 17:36:25","9","464"
1052009,10,28,"26.5","64",16,"2025-01-22 17:36:11","9","464"
1052008,10,28,"26.6","62",15,"2025-01-22 17:35:55","7","446"
1052007,10,28,"26.3","61",15,"2025-01-22 17:35:40","7","451"
1052006,10,28,"26.3","61",14,"2025-01-22 17:35:26","8","454"
