"id","installation_id","device_id","temperature","humidity","number_people","measured_at","tvoc","co2"
1052122,10,28,"26.3","60",17,"2025-01-22 18:05:06","0","0"
1052121,10,28,"26.5","61",17,"2025-01-22 18:04:51","0","0"
1052120,10,28,"26.4","61",17,"2025-01-22 18:04:36","0","0"
1052119,10,28,"26","61",17,"2025-01-22 18:04:21","0","0"
1052118,10,28,"26.5","61",17,"2025-01-22 18:04:06","0","0"
1052117,10,28,"25.7","61",17,"2025-01-22 18:03:51","0","0"
1052116,10,28,"25.9","61",17,"2025-01-22 18:03:36","0","0"
1052115,10,28,"0","0",17,"2025-01-22 18:03:21","0","0"
1052114,10,28,"26","63",17,"2025-01-22 18:03:06","0","0"
1052113,10,28,"26.1","63",17,"2025-01-22 18:02:51","0","0"
1052112,10,28,"0","0",17,"2025-01-22 18:02:36","0","0"
1052111,10,28,"26.5","63",17,"2025-01-22 18:02:21","0","0"
1052110,10,28,"26.7","63",17,"2025-01-22 18:02:06","0","0"
1052109,10,28,"26.1","64",17,"2025-01-22 18:01:51","0","0"
1052108,10,28,"26","63",17,"2025-01-22 18:01:36","0","0"
1052107,10,28,"26.3","63",17,"2025-01-22 18:01:21","0","0"
1052106,10,28,"26.1","63",17,"2025-01-22 18:01:06","0","0"
1052105,10,28,"26","63",17,"2025-01-22 18:00:51","0","0"
1052104,10,28,"26.4","63",17,"2025-01-22 18:00:36","0","0"
1052103,10,28,"26","63",17,"2025-01-22 18:00:21","0","0"
